프롬프트 편집 영역,Unnamed: 1,Unnamed: 2,옵션 선택 영역,체크박스 (+마우스 오버시 툴팁),Unnamed: 5,나의 프리셋 편집
,,,,,,
주제/대상,장르,텍스트 필드,프롬프트 사전&프리셋,,,
,주제/대상,텍스트 필드,,,,
,샷구성,텍스트 필드,프롬프트 사전&프리셋,,,
,포즈 구도,텍스트 필드,프롬프트 사전&프리셋,,,
,표정,텍스트 필드,프롬프트 사전&프리셋,,,
,배경,텍스트 필드,,,,
,,,,,,
조명/색채/분위기,조명,텍스트 필드,프롬프트 사전&프리셋,,,
,색채,텍스트 필드,프롬프트 사전&프리셋,,,
,분위기,텍스트 필드,프롬프트 사전&프리셋,,,
,,,,,,
카메라/구도/디테일,카메라&렌즈,텍스트 필드,프롬프트 사전&프리셋,,,
,렌즈 종류,텍스트 필드,프롬프트 사전&프리셋,,,
,렌즈기법/포커스,텍스트 필드,프롬프트 사전&프리셋,,,
,필름 톤,텍스트 필드,프롬프트 사전&프리셋,,,
,구도,텍스트 필드,프롬프트 사전&프리셋,,,
,시점/관점,텍스트 필드,프롬프트 사전&프리셋,,,
,품질&디테일 묘사,텍스트 필드,프롬프트 사전&프리셋,,,
,렌더링,텍스트 필드,프롬프트 사전&프리셋,,,
,배경 디테일,텍스트 필드,프롬프트 사전&프리셋,,,
,,,,,,
영상,카메라무빙,텍스트 필드,프롬프트 사전&프리셋,,,
,효과,텍스트 필드,프롬프트 사전&프리셋,,,
,오디오,텍스트 필드,프롬프트 사전&프리셋,,,
,--fps ,텍스트 필드,프롬프트 사전&프리셋,"2, 24, 30fps 지원",,
,--duration ,텍스트 필드,프롬프트 사전&프리셋,초 단위 (최대 10초),,
,--motion ,텍스트 필드,프롬프트 사전&프리셋,1-5 범위,,
,--loop,텍스트 필드,프롬프트 사전&프리셋,,,
,,,,,,
제외,--no,텍스트 필드,,,,
,,,,,,
파라미터,--ar ,텍스트 필드,프롬프트 사전&프리셋,"1:1, 16:9, 4:3, 9:16, 21:9",,
,--s / --stylize ,텍스트 필드,프롬프트 사전&프리셋,,,
,--c / --chaos ,텍스트 필드,프롬프트 사전&프리셋,,,
,--Draft ,텍스트 필드,프롬프트 사전&프리셋,,,
,--stealth,텍스트 필드,프롬프트 사전&프리셋,,,
,--iw ,텍스트 필드(url),,,,
,--sref   --sw,텍스트 필드(url),,,,
,--cref   --cw,텍스트 필드(url),,,,
,--oref   --ow,텍스트 필드(url),,,,
,--tile,텍스트 필드,,,,
,--v,텍스트 필드,프롬프트 사전&프리셋,"5.2, 6, 7, niji ",,
,,,,,,
"프롬프트 셋팅 값 소팅
(영문 프롬프트로 자동전환)",복사 버튼,,,,,
,,,,,,
ai 서비스 카테고리...,,,,,,
